OSEBuildingID;BuildingType;PrimaryPropertyType;PropertyName;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;ENERGYSTARScore;SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);Electricity(kWh)
19932;Multifamily MR (5-9);Mid-Rise Multifamily;(ID19932) BELLTOWN LOFTS CONDOMINIUM;47.61263;-122.34779;1914;1;6;62607;0;62607;Multifamily Housing;;1827817.25;1948197.125;535702.625
19934;Multifamily LR (1-4);Low-Rise Multifamily;Belmont Lofts;47.62059;-122.3244;1989;1;4;31702;0;31702;Multifamily Housing;;255971.2031;275412;75020.89844
19936;Multifamily LR (1-4);Low-Rise Multifamily;Belmont Place;47.62589;-122.324;1930;1;3;29765;0;29765;Multifamily Housing;56;1308348.5;1469579.125;81661.60156
19946;Multifamily LR (1-4);Low-Rise Multifamily;The Bering;47.62102;-122.31472;1928;1;4;27182;0;27182;Multifamily Housing;37;2019672.875;2256923.5;86314.39844
19949;Multifamily LR (1-4);Low-Rise Multifamily;Bertona House Condo;47.65052;-122.38821;1969;1;4;22374;0;22374;Multifamily Housing;85;520765.8125;550147;152627.7031
19956;Multifamily LR (1-4);Low-Rise Multifamily;Queen Anne Manor;47.63805;-122.35534;1910;1;4;61802;0;61802;Multifamily Housing;60;3906967;4192671.5;853079
19967;SPS-District K-12;K-12 School;Queen Anne Gym;47.63203;-122.35337;2001;1;1;35805;0;35805;K-12 School;100;431471.6875;431471.6875;72282.39844
19969;Multifamily LR (1-4);Low-Rise Multifamily;Villa Flora;47.71825;-122.31303;2002;0;4;56473;0;56473;Multifamily Housing;63;1332591.5;1371976.25;390560.1875
19976;Multifamily MR (5-9);Mid-Rise Multifamily;Cal-Mor Circle;47.54548;-122.38676;1968;1;8;51490;0;51490;Multifamily Housing;99;1484853.75;1561564.75;277313.5
19986;Multifamily LR (1-4);Low-Rise Multifamily;Biscayne Condominium;47.6483;-122.33681;1987;1;4;45348;0;45348;Multifamily Housing;77;1384558.625;1444049.375;405790.9063
19988;Multifamily LR (1-4);Low-Rise Multifamily;GREENWOOD NORTH APTS (ID19988);47.72614;-122.35519;1966;1;4;31317;0;31317;Multifamily Housing;69;878927.8125;925086.875;257599
19990;Multifamily MR (5-9);Mid-Rise Multifamily;Bitter Lake Village;47.7256;-122.34832;1969;1;5;99372;0;99372;Multifamily Housing;75;2828591;2991078.5;829012.5
19991;Multifamily LR (1-4);Low-Rise Multifamily;Bitterlake West Condo HOA;47.7265;-122.35426;1964;1;4;26744;0;26744;Multifamily Housing;92;621649.6875;659655.125;182195.0938
19992;Multifamily LR (1-4);Low-Rise Multifamily;BITTERLAKE VISTA CONDOMINIUM;47.72304;-122.35007;1987;1;4;30060;0;30060;Multifamily Housing;84;694305.625;725707.375;203489.2969
20000;NonResidential;Worship Facility;EMMANUEL BIBLE CHURCH;47.66476;-122.35248;1928;1;2;45991;0;45991;Worship Facility;77;1145535.75;1297917.25;155049.5
20004;Multifamily MR (5-9);Mid-Rise Multifamily;Blakeley Commons Owners Association;47.66582;-122.29703;2002;1;5;119996;0;119996;Multifamily Housing;41;5073665;5270710.5;1161192.75
20005;Multifamily LR (1-4);Low-Rise Multifamily;Blakely Place Condo HOA;47.66508;-122.30253;1997;1;4;23794;0;23794;Multifamily Housing;49;574563;601792.375;168394.7969
20007;Multifamily LR (1-4);Low-Rise Multifamily;Westwood Court Apts;47.52517;-122.36488;1988;1;4;48996;0;48996;Multifamily Housing;39;1482554.375;1582080.25;434511.8125
20009;Multifamily LR (1-4);Low-Rise Multifamily;Blue Heron;47.6603;-122.39867;2007;1;4;37090;0;37090;Multifamily Housing;40;925293.3125;939073.8125;250803.0938
20011;Multifamily LR (1-4);Low-Rise Multifamily;WESTWOOD PARK VILLA BLDG 2 (ID20011);47.52616;-122.36418;1998;1;3;23533;0;23533;Multifamily Housing;63;1199359.875;1240261.875;310392.6875
20013;Multifamily MR (5-9);Mid-Rise Multifamily;Bolero Homeowners Association;47.61212;-122.3281;2001;1;6;52020;1922;50098;Multifamily Housing;56;1928564.75;2066852.25;479791.8125
20017;Multifamily LR (1-4);Low-Rise Multifamily;Emerald Shores (ID20017);47.58424;-122.39979;1958;1;3;32612;0;32612;Multifamily Housing;78;806615;863565.125;236405.2969
20021;Multifamily LR (1-4);Low-Rise Multifamily;Century House Apartments;47.58817;-122.30291;1971;1;4;58485;0;58485;Multifamily Housing;36;2363161;2504037.5;692602.8125
20027;Multifamily LR (1-4);Low-Rise Multifamily;Ivy Ridge;47.66377;-122.30488;1999;1;3;147443;0;147443;Multifamily Housing;80;2818073;2938891.25;825929.875
20028;Multifamily LR (1-4);Low-Rise Multifamily;53454 - Pacific Sunrise;47.66232;-122.30394;1988;1;4;65103;12449;52654;Multifamily Housing;56;2213421.5;2357469.5;648716.6875
20029;NonResidential;Residence Hall;Washington Phikeia Foundation;47.66282;-122.305;1921;1;3;21499;0;21499;Residence Hall/Dormitory;85;605130.6875;605130.6875;177353.5938
20033;NonResidential;Small- and Mid-Sized Office;Lisa Li Building;47.66461;-122.30142;1989;1;2;20384;0;20384;Office;16;1791071.375;1781798.375;515861
20037;Multifamily LR (1-4);Low-Rise Multifamily;Bayview Apartments;47.66156;-122.30314;1960;1;4;21528;0;21528;Multifamily Housing;74;567280.625;600208.875;166260.4063
20047;NonResidential;Retail Store;BLDG A;47.66246;-122.29898;1956;1;2;39265;0;39265;Retail Store;;5238803;5322918.5;1468083.625
20048;NonResidential;Retail Store;NW BLDG;47.66246;-122.29898;1956;1;2;54284;0;54284;Retail Store;18;6778694;6890861;1882825.375
20050;NonResidential;Retail Store;BLDG C;47.66246;-122.29898;1956;1;1;23409;0;23409;Retail Store;67;2545405;2621259.25;678243.1875
20052;NonResidential;Retail Store;WEST BLDG;47.66246;-122.29898;1997;1;1;63153;0;63153;Retail Store;;4644178;4670313;1264044.375
